name,n_phases,r1,x1,r0,x0,c1,c0,units,r_matrix,x_matrix,c_matrix,rg,xg,rho,symmetrical_components
ug_1/0al,3,0.560042,0.244945,0.961448,0.261162,6.88819914593514E-8,6.88819914593514E-8,km,[  0.69384400 |  0.13380200   0.69384400 |  0.13380200   0.13380200   0.69384400 ],[  0.25035067 |  0.00540567   0.25035067 |  0.00540567   0.00540567   0.25035067 ],[ 68.88199146 |  0.00000000  68.88199146 |  0.00000000   0.00000000  68.88199146 ],0.01805,0.155081,100,true
busbar,3,0.0001,0.0001,0.0001,0.0001,0,0,km,[  0.00010000 |  0.00000000   0.00010000 |  0.00000000   0.00000000   0.00010000 ],[  0.00010000 |  0.00000000   0.00010000 |  0.00000000   0.00000000   0.00010000 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],0.01805,0.155081,100,true
defaultsecondary,1,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,kft,[  0.25000000 ],[  0.07600000 ],[  3.00000000 ],0.01805,0.155081,100,false
