capacitor,element,terminal,control_type,pt_ratio,ct_ratio,off_setting,on_setting,delay,dead_time,ct_phase,pt_phase,pct_min_kvar
mdv201_hn_2_116_abc28285-1,line.mdv201_hn_2_117_abc28284,1,current,60,60,200,300,15,300,1,1,50
mdv201_hn_2_818_abc63707-1,line.mdv201_hn_2_819_abc8177,1,current,60,60,200,300,15,300,1,1,50
mdv201_hn_2_345_abc8081-1,line.mdv201_hn_2_131_abc8080,1,current,60,60,200,300,15,300,1,1,50
mdv201_da_8_153_abc74433-1,line.mdv201_da_8_154_abc74439,1,current,60,60,200,300,15,300,1,1,50
