name,enabled,n_phases,n_conds,base_freq,terminal1,kv,kw,kvar,kva,pf,model,vmin_pu,vmax_pu,r_neut,x_neut,connection,spec_type,status,yearly,daily,duty,spectrum
mdv201_da_8_744_c46398-1c0,true,1,2,60,x_46398_1.3,0.24,6.976025,2.75645199999999,7.500863445559381,0.930029596010031,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_da_8_744_c46398-1c1,true,1,2,60,x_46398_2.3,0.24,6.976025,2.75645199999999,7.500863445559381,0.930029596010031,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_938_b14992-1b0,true,1,2,60,x_14992_1.2,0.24,4.987567,1.905359000000002,5.339121416335277,0.934155006241349,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_938_b14992-1b1,true,1,2,60,x_14992_2.2,0.24,4.987567,1.905359000000002,5.339121416335277,0.934155006241349,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_658_c62236-1c0,true,1,2,60,x_62236_1.3,0.24,5.41431233333333,2.139369333333331,5.821656051957425,0.930029580073331,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_658_c62236-1c1,true,1,2,60,x_62236_2.3,0.24,5.41431233333333,2.139369333333331,5.821656051957425,0.930029580073331,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_658_c62236-1c2,true,1,2,60,x_62236_3.3,0.24,5.41431233333333,2.139369333333331,5.821656051957425,0.930029580073331,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_220_b44580-1b0,true,1,2,60,x_44580_1.2,0.24,4.461261,1.704298999999994,4.77571824875819,0.934154983108571,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_21023_a8193-1a0,true,1,2,60,x_8193_1.1,0.24,4.408496,1.832814999999994,4.774311238937087,0.923378426619181,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_817_abc14880-1a0,true,1,2,60,x_14880_1.1,0.24,4.629966,1.924890000000004,5.014158620671669,0.923378446966601,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_477_c8121-1c0,true,1,2,60,x_8121_1.3,0.24,5.3707165,2.122142999999999,5.774780224027686,0.930029592754637,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_477_c8121-1c1,true,1,2,60,x_8121_2.3,0.24,5.3707165,2.122142999999999,5.774780224027686,0.930029592754637,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_477_c8121-1c2,true,1,2,60,x_8121_3.3,0.24,5.3707165,2.122142999999999,5.774780224027686,0.930029592754637,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_477_c8121-1c3,true,1,2,60,x_8121_4.3,0.24,5.3707165,2.122142999999999,5.774780224027686,0.930029592754637,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_8159elb-1a0,true,1,2,60,x_8159_1.1,0.24,4.276868,1.778091,4.631760733641689,0.923378439852471,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_328_c14830-1c0,true,1,2,60,x_14830_1.3,0.24,6.9739155,2.755618500000009,7.498595249690609,0.930029594581431,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_328_c14830-1c1,true,1,2,60,x_14830_2.3,0.24,6.9739155,2.755618500000009,7.498595249690609,0.930029594581431,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_da_8_259_a1023345-1a0,true,1,2,60,x_1023345_1.1,0.24,2.091424,0.8695009999999984,2.264969389810158,0.92337848335129,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_924_c28267-1c0,true,1,2,60,x_28267_1.3,0.24,6.423343,2.538070000000005,6.906600800723105,0.93002957392984,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_646_a28230-1a0,true,1,2,60,x_28230_1.1,0.24,3.507993,1.458434000000002,3.799084708242896,0.923378463341101,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_646_a28230-1a1,true,1,2,60,x_28230_2.1,0.24,3.507993,1.458434000000002,3.799084708242896,0.923378463341101,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_646_a28230-1a2,true,1,2,60,x_28230_3.1,0.24,3.507993,1.458434000000002,3.799084708242896,0.923378463341101,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_646_a28230-1a3,true,1,2,60,x_28230_4.1,0.24,3.507993,1.458434000000002,3.799084708242896,0.923378463341101,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_402_b793-1b0,true,1,2,60,x_793_1.2,0.24,4.35024366666667,1.661888000000003,4.656875742804127,0.934154980061199,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_402_b793-1b1,true,1,2,60,x_793_2.2,0.24,4.35024366666667,1.661888000000003,4.656875742804127,0.934154980061199,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_402_b793-1b2,true,1,2,60,x_793_3.2,0.24,4.35024366666667,1.661888000000003,4.656875742804127,0.934154980061199,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_097_a39598-1a0,true,1,2,60,x_39598_1.1,0.24,6.2951655,2.617189500000003,6.817535445547791,0.92337847749821,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_097_a39598-1a1,true,1,2,60,x_39598_2.1,0.24,6.2951655,2.617189500000003,6.817535445547791,0.92337847749821,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
mdv201_hn_2_153_b14829-1b0,true,1,2,60,x_14829_1.2,0.24,4.203591,1.60586333333333,4.499886036404193,0.93415499103596,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Residential,,,defaultload
